student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_year,placement_status,package_lpa,company_name,has_internship,has_certification,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,student_intervention,intervention_priority,eligible_for_shortlist
1,Male,20,BE,Mechanical Engineering,8.4,2,2,2,1,7,0,Yes,Yes,2019,Placed,8.18,Capgemini,1,1,8,74.0,9.16,28.6,Low,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Track,0
2,Female,20,BTech,Electrical Engineering,8.6,2,0,5,1,6,0,No,Yes,2020,Placed,8.41,Cognizant,0,1,7,76.0,7.24,40.4,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
3,Male,22,BCA,Electrical Engineering,6.62,3,0,1,1,7,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,8,51.2,2.15,69.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
4,Male,24,BCA,Data Science,8.01,0,0,4,4,9,0,No,Yes,2022,Placed,8.69,Capgemini,0,1,13,80.1,11.6,0.9,Low,Complete an internship; Improve DSA and coding practice; Build more portfolio projects,Track,1
5,Male,24,BCA,Electrical Engineering,9.12,2,1,2,4,6,4,Yes,Yes,2023,Placed,12.08,Adobe,1,1,10,81.19999999999999,13.05,7.3,Low,Clear backlogs early; Improve DSA and coding practice,Track,0
6,Female,22,BSc,Computer Science,6.77,1,3,4,8,6,4,Yes,Yes,2024,Placed,12.82,Microsoft,1,1,14,62.69999999999999,20.81,0.0,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
7,Male,23,BSc,Computer Science,9.36,1,0,4,5,9,0,No,Yes,2019,Placed,9.26,Accenture,0,1,14,88.6,11.04,0.8,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
8,Male,20,BSc,Computer Science,8.17,2,0,2,10,8,5,No,Yes,2020,Placed,12.51,Meta,0,1,18,71.7,15.07,0.0,Low,Clear backlogs early; Complete an internship,Track,0
9,Male,20,BSc,Information Technology,7.32,3,3,4,4,6,5,Yes,Yes,2021,Placed,11.7,Capgemini,1,1,10,58.2,17.63,6.1,Low,Clear backlogs early; Improve DSA and coding practice,Track,0
10,Female,22,BE,Computer Science,8.18,3,0,3,8,7,4,No,Yes,2022,Placed,11.47,Capgemini,0,1,15,66.8,11.97,11.9,Low,Clear backlogs early; Complete an internship,Track,0
11,Male,22,BE,Computer Science,7.23,3,2,1,7,6,1,Yes,Yes,2023,Placed,9.25,Accenture,1,1,13,57.30000000000001,9.59,24.6,Low,Clear backlogs early; Build more portfolio projects,Track,0
12,Male,23,BCA,Data Science,9.1,2,0,0,6,6,4,No,No,2024,Placed,10.92,Capgemini,0,0,12,81.0,10.24,11.4,Low,Clear backlogs early; Complete an internship; Add one industry certification,Track,0
13,Male,24,BSc,Mechanical Engineering,7.57,3,0,1,2,7,1,No,Yes,2019,Placed,7.06,TCS,0,1,9,60.7,4.13,55.6,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
14,Male,21,BCA,Mechanical Engineering,9.38,3,1,0,5,4,5,Yes,No,2020,Placed,11.22,Infosys,1,0,9,78.80000000000001,10.85,19.7,Low,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Track,0
15,Female,24,BTech,Computer Science,7.69,1,1,3,2,4,3,Yes,Yes,2021,Placed,8.62,Accenture,1,1,6,71.9,11.98,19.9,Low,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Track,0
16,Male,20,BSc,Computer Science,8.34,0,2,1,6,6,5,Yes,Yes,2022,Placed,13.12,Amazon,1,1,12,83.4,18.94,0.0,Low,Profile is competitive; keep building projects and interview readiness,Track,1
17,Female,22,BSc,Computer Science,9.79,1,3,3,9,5,5,Yes,Yes,2023,Placed,15.53,Microsoft,1,1,14,92.89999999999999,22.42,0.0,Low,Clear backlogs early; Strengthen communication skills,Track,0
18,Female,23,BCA,Electrical Engineering,6.13,2,2,2,9,7,4,Yes,Yes,2024,Placed,11.67,Accenture,1,1,16,51.3,16.25,0.0,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
19,Female,24,BCA,Data Science,8.67,1,3,0,6,5,3,Yes,No,2019,Placed,12.56,Google,1,0,11,81.7,15.97,0.0,Low,Clear backlogs early; Strengthen communication skills; Add one industry certification,Track,0
20,Male,23,BTech,Data Science,6.1,0,0,2,4,4,1,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,8,61.0,8.44,27.4,Low,Raise CGPA above 7.0; Complete an internship; Improve DSA and coding practice,Track,0
21,Female,24,BCA,Data Science,9.11,1,1,2,10,9,2,Yes,Yes,2021,Placed,14.35,Google,1,1,19,86.1,15.74,0.0,Low,Clear backlogs early,Track,0
22,Male,20,BSc,Mechanical Engineering,8.06,3,2,1,9,6,5,Yes,Yes,2022,Placed,12.19,Adobe,1,1,15,65.60000000000001,15.52,0.0,Low,Clear backlogs early,Track,0
23,Female,21,BE,Information Technology,9.53,0,2,4,5,7,3,Yes,Yes,2023,Placed,12.24,Amazon,1,1,12,95.3,19.41,0.0,Low,Improve DSA and coding practice,Track,1
24,Female,23,BTech,Mechanical Engineering,9.22,2,1,4,8,4,3,Yes,Yes,2024,Placed,13.57,Meta,1,1,12,82.2,14.29,0.0,Low,Clear backlogs early; Strengthen communication skills,Track,0
25,Female,23,BTech,Data Science,5.82,1,3,3,9,6,5,Yes,Yes,2019,Placed,12.66,Amazon,1,1,15,53.2,21.23,0.0,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
26,Female,21,BSc,Artificial Intelligence,6.09,1,0,1,5,7,2,No,Yes,2020,Placed,5.49,Wipro,0,1,12,55.9,8.94,24.5,Low,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Track,0
27,Female,23,BE,Information Technology,8.09,3,3,2,6,5,3,Yes,Yes,2021,Placed,12.01,Microsoft,1,1,11,65.9,14.34,8.5,Low,Clear backlogs early; Strengthen communication skills,Track,0
28,Female,23,BCA,Computer Science,7.73,0,1,5,4,7,3,Yes,Yes,2022,Placed,10.01,Capgemini,1,1,11,77.30000000000001,17.09,0.0,Low,Improve DSA and coding practice,Track,1
29,Female,24,BCA,Electrical Engineering,6.22,3,0,3,1,6,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,7,47.199999999999996,3.19,70.7,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
30,Female,24,BE,Mechanical Engineering,6.06,1,3,2,1,6,1,Yes,Yes,2024,Placed,6.21,Tech Mahindra,1,1,7,55.599999999999994,12.52,21.6,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
31,Male,21,BE,Electrical Engineering,7.93,1,0,3,5,6,5,No,Yes,2019,Placed,10.66,Capgemini,0,1,11,74.3,14.47,0.4,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
32,Male,20,BSc,Information Technology,5.71,0,1,5,3,9,2,Yes,Yes,2020,Placed,6.99,Tech Mahindra,1,1,12,57.1,15.48,0.7,Low,Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
