student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_year,placement_status,package_lpa,company_name,has_internship,has_certification,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,student_intervention,intervention_priority,eligible_for_shortlist
9574,Male,24,BCA,Information Technology,6.65,3,1,0,1,2,0,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,3,51.5,1.36,78.1,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
4082,Female,23,BE,Data Science,6.65,3,0,0,1,5,0,No,No,2020,Not Placed,0.0,Unplaced,0,0,6,51.5,0.56,77.1,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
1147,Male,22,BTech,Electrical Engineering,6.67,3,0,0,1,5,0,No,No,2019,Not Placed,0.0,Unplaced,0,0,6,51.7,0.57,77.0,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
8544,Male,20,BCA,Electrical Engineering,5.7,3,0,2,1,6,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,7,42.0,2.18,75.8,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
8545,Male,20,BSc,Electrical Engineering,5.69,3,0,1,1,7,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,8,41.900000000000006,1.78,74.9,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
133,Male,24,BSc,Data Science,5.58,3,0,3,2,5,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,7,40.8,2.93,73.5,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
4757,Female,21,BSc,Data Science,6.09,3,0,3,1,4,1,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,5,45.9,3.54,73.5,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
2392,Female,22,BSc,Artificial Intelligence,7.13,3,0,1,1,5,0,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,6,56.3,1.55,72.2,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
10941,Male,20,BSc,Mechanical Engineering,6.15,3,0,4,1,5,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,6,46.5,3.56,72.1,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
6724,Female,24,BE,Mechanical Engineering,7.0,3,0,5,1,3,0,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,4,55.0,3.9,71.0,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
10811,Female,21,BTech,Data Science,7.01,3,0,0,1,5,1,No,No,2023,Not Placed,0.0,Unplaced,0,0,6,55.099999999999994,1.9,70.9,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
29,Female,24,BCA,Electrical Engineering,6.22,3,0,3,1,6,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,7,47.199999999999996,3.19,70.7,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
7935,Female,23,BSc,Mechanical Engineering,5.6,3,0,1,3,6,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,9,41.0,2.14,70.4,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
11949,Male,21,BCA,Information Technology,6.82,3,0,3,1,5,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,6,53.2,3.03,70.1,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
3053,Female,22,BE,Artificial Intelligence,6.41,3,0,1,2,6,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,8,49.099999999999994,2.06,69.5,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
1734,Female,23,BE,Computer Science,6.45,3,0,3,1,6,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,7,49.5,3.28,69.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
3,Male,22,BCA,Electrical Engineering,6.62,3,0,1,1,7,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,8,51.2,2.15,69.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
1282,Male,20,BSc,Artificial Intelligence,6.15,3,0,2,2,6,0,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,8,46.5,2.76,69.1,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
9291,Male,20,BCA,Mechanical Engineering,5.7,2,0,1,1,5,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,6,47.0,2.48,68.8,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
6875,Male,24,BE,Information Technology,5.57,3,1,5,1,4,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,5,40.7,5.73,68.6,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
